event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized,district,district_state,district_state_code,district_code,district_lgd,state_lgd,rainfall_7d,rainfall_48h,rainfall_24h,average_humidity_24h,soil_moisture,landslide
9338,2016-05-18 08:00:00,landslide,continuous_rain,medium,natural_slope,India,Assam,92.4943,24.4638,Assam,Sribhumi,Assam,18.0,317.0,293.0,18.0,93.7,38.7,30.7,87.79,0.427,1
NEG_0030,2013-05-11 00:00:00,,,,,,,94.13314482092387,23.917660990833987,,Chandel,,,,,,140.1,32.0,25.3,93.79,0.439,0
NEG_0066,2012-06-25 00:00:00,,,,,,,92.27331814011411,25.224308004049195,,East Jaintia Hills,,,,,,193.2,151.0,99.2,98.08,0.502,0
NEG_0098,2011-07-25 00:00:00,,,,,,,92.64547150286984,24.340682345707364,,Hailakandi,,,,,,222.5,8.9,1.8,85.88,0.401,0
NEG_0268,2015-03-19 00:00:00,,,,,,,90.37284627810882,25.392611434909085,,South Garo Hills,,,,,,0.0,0.0,0.0,60.46,0.271,0
NEG_0302,2013-09-24 00:00:00,,,,,,,94.86052174484196,26.22314786700445,,Tuensang,,,,,,41.1,4.0,1.8,87.12,0.423,0
NEG_0190,2014-09-22 00:00:00,,,,,,,93.8359115290164,27.558907938880647,,Lower Subansiri,,,,,,131.2,82.3,49.2,99.96,0.429,0
NEG_0196,2011-08-05 00:00:00,,,,,,,94.57875150292136,25.60840769345552,,Meluri,,,,,,44.2,10.5,5.9,87.75,0.492,0
7837,2015-08-27 00:00:00,landslide,downpour,medium,urban,India,Mizoram,92.7265,23.7269,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,67.3,17.8,7.3,93.29,0.418,1
269,2007-09-18 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.2816,27.2872,Sikkim,Namchi,Sikkim,11.0,243.0,227.0,11.0,50.5,16.1,3.5,91.25,0.415,1
NEG_0067,2016-07-19 00:00:00,,,,,,,92.96778490932093,27.24336271204924,,East Kameng,,,,,,222.9,69.2,43.7,99.33,0.43,0
NEG_0281,2015-09-05 00:00:00,,,,,,,93.56029319973553,25.096398263976297,,Tamenglong,,,,,,110.5,14.3,2.9,96.67,0.41,0
1776,2010-04-21 00:00:00,landslide,downpour,medium,unknown,India,Meghālaya,92.2845,25.3612,Meghalaya,East Jaintia Hills,Meghalaya,17.0,714.0,657.0,17.0,213.3,121.2,57.3,98.42,0.514,1
4798,2013-04-07 00:00:00,landslide,rain,medium,unknown,India,Arunachal Pradesh,96.1509,28.8254,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,117.8,37.1,12.5,86.38,0.387,1
4313,2012-04-08 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.86,28.4659,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,120.9,79.0,26.3,85.92,0.428,1
NEG_0262,2010-07-19 06:00:00,,,,,,,94.31462694205408,25.367492894916527,,Senapati,,,,,,87.8,29.1,10.8,97.25,0.472,0
NEG_0075,2015-06-19 00:00:00,,,,,,,91.66152115882812,25.14459025642732,,East Khasi Hills,,,,,,267.7,15.3,3.1,83.33,0.435,0
4858,2013-05-11 09:00:00,landslide,rain,medium,unknown,India,Assam,91.7138,26.1662,Assam,Kamrup Metro,Assam,18.0,322.0,618.0,18.0,64.4,29.9,19.4,86.17,0.472,1
NEG_0158,2016-07-20 00:00:00,,,,,,,94.05401094676417,25.719010514510153,,Kohima,,,,,,34.3,6.4,5.0,80.21,0.489,0
6284,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.8342,26.1324,Assam,Kamrup Metro,Assam,18.0,322.0,618.0,18.0,128.7,86.3,27.7,92.58,0.469,1
2045,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,India,Nāgāland,94.8133,26.2363,Nagaland,Tuensang,Nagaland,13.0,267.0,249.0,13.0,98.3,13.8,4.1,88.12,0.503,1
NEG_0017,2010-06-07 00:00:00,,,,,,,96.632888390271,28.168024149801433,,Anjaw,,,,,,116.4,66.2,41.8,93.42,0.426,0
580,2008-06-09 00:00:00,landslide,monsoon,medium,unknown,India,Manipur,93.9784,24.6596,Manipur,Thoubal,Manipur,14.0,276.0,259.0,14.0,43.0,22.4,15.0,91.21,0.485,1
1756,2010-04-17 00:00:00,landslide,downpour,small,unknown,India,Sikkim,88.6087,27.322,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,32.9,3.7,1.9,76.21,0.383,1
NEG_0325,2016-07-10 00:00:00,,,,,,,92.3306806236301,25.59562354143025,,West Jaintia Hills,,,,,,144.2,29.8,13.8,90.12,0.461,0
4845,2013-05-07 00:00:00,mudslide,rain,medium,unknown,India,Mizoram,92.6755,24.2315,Mizoram,Kolasib,Mizoram,15.0,282.0,263.0,15.0,49.8,32.1,11.2,92.58,0.392,1
6293,2014-10-20 00:00:00,landslide,rain,medium,unknown,India,Meghalaya,90.0896,25.5006,Meghalaya,South West Garo Hills,Meghalaya,17.0,711.0,663.0,17.0,11.6,0.3,0.3,78.67,0.438,1
3776,2011-07-15 18:00:00,landslide,downpour,small,unknown,India,Arunāchal Pradesh,93.7145,27.125,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,12.0,248.0,237.0,12.0,90.3,54.1,44.1,96.62,0.405,1
5338,2013-08-16 00:00:00,landslide,rain,medium,unknown,India,Assam,94.9275,26.8727,Assam,Mon,Nagaland,13.0,261.0,247.0,13.0,117.4,39.8,27.6,85.79,0.467,1
NEG_0011,2016-08-05 00:00:00,,,,,,,92.9819295699364,23.73583158921991,,Aizawl,,,,,,33.8,13.7,8.4,87.96,0.413,0
NEG_0225,2015-06-24 00:00:00,,,,,,,93.42738233124462,24.707697847688692,,Noney,,,,,,127.6,49.2,31.6,99.83,0.424,0
NEG_0297,2010-10-09 00:00:00,,,,,,,94.2688472375884,25.956253611651334,,Tseminyu,,,,,,54.4,39.0,25.8,92.88,0.456,0
NEG_0243,2015-08-01 00:00:00,,,,,,,91.75531803955688,25.8373905436709,,Ri Bhoi,,,,,,82.1,62.9,60.7,92.46,0.508,0
NEG_0314,2013-09-01 00:00:00,,,,,,,94.66069928189376,25.15316489918411,,Ukhrul,,,,,,101.4,13.0,8.1,91.17,0.459,0
NEG_0181,2014-07-14 18:00:00,,,,,,,92.94496717115764,27.88481912994768,,Kurung Kumey,,,,,,239.2,57.5,41.9,95.58,0.427,0
9124,2016-07-19 00:00:00,translational_slide,continuous_rain,large,natural_slope,India,Meghalaya,90.5573,25.203,Meghalaya,South Garo Hills,Meghalaya,17.0,295.0,277.0,17.0,159.3,80.4,39.1,96.96,0.448,1
NEG_0136,2013-08-04 00:00:00,,,,,,,91.9338941563418,26.2006684541521,,Kamrup Metro,,,,,,109.0,25.4,6.5,84.33,0.488,0
2579,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1076,25.682,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,83.2,50.2,26.8,95.12,0.453,1
869,2008-10-29 00:00:00,landslide,downpour,medium,unknown,India,Assam,94.1167,27.2333,Assam,Lakhimpur,Assam,18.0,307.0,295.0,18.0,45.7,37.2,0.8,85.67,0.366,1
NEG_0132,2015-07-22 00:00:00,,,,,,,91.90130782794138,26.176738929924667,,Kamrup Metro,,,,,,142.5,86.5,72.2,96.17,0.452,0
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,India,Manipur,94.3619,25.0985,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,11.2,1.6,1.5,87.08,0.387,1
5430,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,India,Manipur,93.487,24.9037,Manipur,Tamenglong,Manipur,14.0,273.0,258.0,14.0,81.7,3.0,1.2,89.5,0.398,1
NEG_0329,2010-06-03 05:00:00,,,,,,,90.77165490069568,25.38091143826982,,West Khasi Hills,,,,,,130.1,50.3,30.5,94.21,0.464,0
NEG_0203,2013-08-04 00:00:00,,,,,,,94.94972509410483,26.84746475882016,,Mon,,,,,,118.4,28.5,10.6,83.75,0.486,0
NEG_0223,2011-07-07 00:00:00,,,,,,,93.57454163127905,24.650728946335523,,Noney,,,,,,84.6,24.2,18.5,89.58,0.426,0
NEG_0288,2015-08-19 00:00:00,,,,,,,91.8149486104872,27.77228293454445,,Tawang,,,,,,142.6,67.1,30.8,97.79,0.422,0
NEG_0123,2010-04-20 00:00:00,,,,,,,91.87870621419312,26.046814829510826,,Kamrup Metro,,,,,,47.0,31.8,13.9,95.25,0.502,0
7335,2015-08-18 09:00:00,landslide,continuous_rain,medium,urban,India,Meghalaya,90.2023,25.5145,Meghalaya,West Garo Hills,Meghalaya,17.0,293.0,278.0,17.0,84.1,36.8,28.2,92.46,0.443,1
5250,2013-08-01 00:00:00,mudslide,rain,medium,unknown,India,Arunachal Pradesh,93.0515,27.8837,Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh,12.0,256.0,233.0,12.0,138.5,14.2,7.2,89.38,0.415,1
NEG_0229,2016-06-14 08:00:00,,,,,,,88.71151731603443,27.281546731623425,,Pakyong,,,,,,79.9,20.6,11.6,93.0,0.423,0
2282,2010-08-19 06:30:00,landslide,downpour,medium,unknown,India,Nāgāland,94.8158,26.1984,Nagaland,Tuensang,Nagaland,13.0,267.0,249.0,13.0,124.1,20.5,15.5,92.29,0.5,1
NEG_0024,2010-10-08 00:00:00,,,,,,,93.06708765130792,24.63597804237234,,Cachar,,,,,,29.8,17.7,8.3,95.96,0.43,0
NEG_0226,2015-08-11 00:00:00,,,,,,,93.5417243096578,24.80346898450072,,Noney,,,,,,94.9,20.3,11.6,95.88,0.418,0
4241,2012-03-04 00:00:00,landslide,unknown,medium,unknown,India,Manipur,93.6795,25.1604,Manipur,Tamenglong,Manipur,14.0,273.0,258.0,14.0,23.3,8.9,0.7,72.83,0.301,1
2344,2010-08-27 16:30:00,landslide,downpour,medium,unknown,India,Assam,93.4221,24.7505,Assam,Noney,Manipur,14.0,771.0,714.0,14.0,68.2,19.4,7.6,93.46,0.414,1
5270,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,India,Nāgāland,94.4619,26.0481,Nagaland,Zunheboto,Nagaland,13.0,263.0,251.0,13.0,34.4,12.5,1.3,88.0,0.466,1
2163,2010-07-29 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1054,25.4196,Nagaland,Senapati,Manipur,14.0,272.0,257.0,14.0,100.5,17.5,10.2,89.79,0.515,1
213,2007-08-26 00:00:00,landslide,rain,medium,unknown,India,Assam,92.8339,25.2946,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,90.7,59.0,41.1,94.04,0.491,1
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,94.0885,25.7131,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,151.9,87.8,75.8,91.71,0.507,1
NEG_0283,2007-08-26 00:00:00,,,,,,,93.44524968812674,25.239211872908136,,Tamenglong,,,,,,71.3,35.1,21.3,97.29,0.519,0
8901,2016-07-10 00:00:00,landslide,downpour,medium,above_road,India,Nagaland,94.1318,25.7902,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,130.0,5.4,3.6,87.38,0.435,1
NEG_0035,2010-08-17 00:00:00,,,,,,,93.77181914558533,23.99002500654674,,Chandel,,,,,,107.1,42.7,23.9,99.04,0.419,0
NEG_0342,2013-05-12 00:00:00,,,,,,,94.6143334527487,26.042131347538536,,Zunheboto,,,,,,167.5,61.2,39.6,92.21,0.496,0
NEG_0001,2016-06-12 00:00:00,,,,,,,92.7208129153357,23.56387152816037,,Aizawl,,,,,,118.3,53.7,8.0,92.12,0.422,0
NEG_0252,2013-10-06 00:00:00,,,,,,,93.99739543194724,25.52662793244414,,Senapati,,,,,,102.4,65.6,50.2,99.21,0.443,0
2587,2010-10-10 06:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1072,25.6623,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,99.4,45.2,18.4,92.71,0.474,1
NEG_0248,2016-07-11 23:00:00,,,,,,,93.76624751966985,25.502118673021464,,Senapati,,,,,,127.1,51.4,31.0,93.38,0.487,0
5274,2013-08-04 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.564,26.0838,Nagaland,Zunheboto,Nagaland,13.0,263.0,251.0,13.0,34.4,12.5,1.3,89.92,0.492,1
NEG_0211,2015-07-22 00:00:00,,,,,,,92.4419923777662,26.20856261099158,,Nagaon,,,,,,98.4,55.6,41.4,94.21,0.483,0
NEG_0334,2013-05-12 00:00:00,,,,,,,94.26109291501348,26.0591377365208,,Wokha,,,,,,105.4,37.6,28.7,90.83,0.503,0
NEG_0273,2015-08-27 00:00:00,,,,,,,92.4662174395672,24.439552884904792,,Sribhumi,,,,,,91.9,17.5,15.9,90.92,0.43,0
2576,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1399,25.4788,Nagaland,Senapati,Manipur,14.0,272.0,257.0,14.0,91.5,47.2,24.1,98.29,0.458,1
6214,2014-10-05 17:45:00,landslide,rain,medium,above_road,India,Meghalaya,91.8587,25.9702,Meghalaya,Ri Bhoi,Meghalaya,17.0,297.0,276.0,17.0,11.0,0.6,0.0,78.67,0.445,1
7369,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1016,24.1988,Manipur,Chandel,Manipur,14.0,280.0,253.0,14.0,491.1,287.6,163.3,99.96,0.44,1
1125,2009-08-26 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.7648,27.3746,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,173.5,44.7,16.5,93.25,0.43,1
8012,2015-09-06 15:00:00,landslide,unknown,medium,above_road,India,Meghalaya,91.8584,25.9703,Meghalaya,Ri Bhoi,Meghalaya,17.0,297.0,276.0,17.0,465.3,45.9,3.5,89.25,0.468,1
6288,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.7998,26.1985,Assam,Kamrup Metro,Assam,18.0,322.0,618.0,18.0,128.7,86.3,27.7,92.29,0.48,1
NEG_0186,2014-09-23 00:00:00,,,,,,,92.60458394391124,22.343721363117595,,Lawngtlai,,,,,,22.2,2.4,1.1,82.54,0.378,0
1084,2009-08-12 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,92.8,27.7,Arunachal Pradesh,East Kameng,Arunachal Pradesh,12.0,247.0,231.0,12.0,244.3,104.5,55.3,93.79,0.429,1
870,2008-10-29 00:00:00,mudslide,downpour,medium,unknown,India,Arunāchal Pradesh,92.35,27.4,Arunachal Pradesh,West Kameng,Arunachal Pradesh,12.0,246.0,242.0,12.0,132.9,110.6,13.2,95.08,0.419,1
NEG_0184,2015-07-25 09:00:00,,,,,,,94.12720066819192,26.999517910559756,,Lakhimpur,,,,,,105.1,39.1,11.9,89.38,0.513,0
5087,2013-07-12 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1139,25.6269,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,69.4,12.0,9.6,90.46,0.462,1
6200,2014-08-17 00:00:00,landslide,downpour,large,unknown,India,Arunachal Pradesh,93.6086,27.0869,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,12.0,248.0,237.0,12.0,356.3,88.4,20.0,92.38,0.513,1
212,2007-08-26 00:00:00,complex,rain,medium,unknown,India,Meghālaya,91.8506,25.5576,Meghalaya,East Khasi Hills,Meghalaya,17.0,298.0,274.0,17.0,59.5,13.6,4.2,91.12,0.491,1
NEG_0167,2013-08-04 00:00:00,,,,,,,94.16797884861946,25.68675004299947,,Kohima,,,,,,38.7,11.7,3.1,89.92,0.479,0
NEG_0204,2016-06-14 08:00:00,,,,,,,95.04947514000278,26.902405340735253,,Mon,,,,,,117.4,46.6,15.0,88.29,0.501,0
NEG_0328,2007-09-18 00:00:00,,,,,,,92.32312522749014,27.218248840706934,,West Kameng,,,,,,65.4,19.5,4.5,85.92,0.41,0
NEG_0155,2010-06-15 00:00:00,,,,,,,94.65697160099694,25.843732806676943,,Kiphire,,,,,,61.5,36.1,22.8,90.04,0.449,0
2539,2010-10-03 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.4149,28.3092,Arunachal Pradesh,East Siang,Arunachal Pradesh,12.0,251.0,232.0,12.0,96.8,6.2,3.5,86.58,0.407,1
7836,2015-08-27 00:00:00,landslide,downpour,medium,above_road,India,Mizoram,92.6724,24.042,Mizoram,Kolasib,Mizoram,15.0,282.0,263.0,15.0,71.8,17.3,10.2,94.29,0.418,1
7387,2015-08-01 00:00:00,landslide,continuous_rain,small,below_road,India,Manipur,94.2156,24.954,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,183.5,92.5,52.0,97.17,0.452,1
5006,2013-07-01 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.3864,26.1147,Nagaland,Wokha,Nagaland,13.0,264.0,250.0,13.0,108.0,45.0,29.7,88.5,0.518,1
NEG_0043,2015-08-22 09:00:00,,,,,,,95.56662294024936,28.760486101460767,,Dibang Valley,,,,,,627.9,113.1,32.5,92.79,0.427,0
1755,2010-04-17 15:00:00,landslide,downpour,small,unknown,India,Sikkim,88.6083,27.3341,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,32.9,3.7,1.9,76.21,0.383,1
6969,2015-06-16 06:15:00,landslide,downpour,medium,urban,India,Meghalaya,90.215,25.5114,Meghalaya,West Garo Hills,Meghalaya,17.0,293.0,278.0,17.0,301.9,32.8,21.7,94.0,0.509,1
3556,2011-05-31 14:00:00,landslide,continuous_rain,small,unknown,India,Manipur,93.8474,25.1555,Manipur,Kangpokpi,Manipur,14.0,767.0,712.0,14.0,112.5,74.0,54.6,96.5,0.43,1
3840,2011-07-25 00:00:00,landslide,downpour,medium,unknown,India,Manipur,93.9157,24.6869,Manipur,Thoubal,Manipur,14.0,276.0,259.0,14.0,93.2,5.6,5.3,86.42,0.451,1
NEG_0274,2016-07-20 00:00:00,,,,,,,92.26903026941008,24.3043463829258,,Sribhumi,,,,,,39.1,17.6,11.7,86.71,0.436,0
255,2007-09-10 00:00:00,landslide,rain,medium,unknown,India,Manipur,94.0691,24.2451,Manipur,Chandel,Manipur,14.0,280.0,253.0,14.0,119.7,6.1,2.1,90.04,0.433,1
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.1645,25.5215,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,102.0,7.2,3.6,84.04,0.466,1
5337,2013-08-16 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.9731,26.4205,Nagaland,Mon,Nagaland,13.0,261.0,247.0,13.0,82.8,21.9,12.8,89.29,0.48,1
5476,2013-09-07 15:00:00,landslide,rain,medium,unknown,India,Sikkim,88.7323,27.3736,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,161.2,34.5,13.4,90.5,0.42,1
NEG_0120,2014-06-27 00:00:00,,,,,,,91.9114548066772,26.169243186653393,,Kamrup Metro,,,,,,223.1,34.7,30.3,87.83,0.481,0
7655,2016-04-22 02:30:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,91.8569,27.5799,Arunachal Pradesh,Tawang,Arunachal Pradesh,12.0,245.0,238.0,12.0,77.2,50.2,27.9,90.04,0.428,1
7923,2015-09-01 00:00:00,landslide,rain,medium,unknown,India,Assam,91.72137514,26.49349035,Assam,Kamrup,Assam,18.0,321.0,291.0,18.0,166.7,76.4,51.3,95.29,0.472,1
NEG_0182,2011-06-28 00:00:00,,,,,,,93.92517713322452,27.11017853153665,,Lakhimpur,,,,,,109.0,72.5,36.5,92.88,0.422,0
2296,2010-08-20 00:00:00,complex,downpour,medium,unknown,India,Sikkim,88.3652,27.167,Sikkim,Namchi,Sikkim,11.0,243.0,227.0,11.0,265.2,58.5,30.4,99.12,0.439,1
NEG_0005,2010-09-13 09:00:00,,,,,,,92.9076085455244,23.6921541498751,,Aizawl,,,,,,55.3,17.2,9.8,94.04,0.424,0
NEG_0135,2011-08-16 08:00:00,,,,,,,91.60102403979916,26.123984511239847,,Kamrup Metro,,,,,,198.4,27.8,11.1,89.67,0.491,0
1930,2010-05-31 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.8776,28.4298,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,51.3,6.4,3.1,88.29,0.427,1
NEG_0343,2010-04-20 00:00:00,,,,,,,94.41062139255862,26.134884839621517,,Zunheboto,,,,,,111.0,71.6,49.3,91.71,0.433,0
NEG_0149,2013-09-07 15:00:00,,,,,,,93.89520469173888,24.94951986815494,,Kangpokpi,,,,,,21.8,6.7,0.8,84.75,0.459,0
2281,2010-08-19 18:00:00,landslide,downpour,medium,above_road,India,Nāgāland,94.11603493,25.61560252,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,73.1,11.2,8.1,91.62,0.449,1
NEG_0012,2010-08-13 00:00:00,,,,,,,92.88003578721978,23.71908114529014,,Aizawl,,,,,,69.6,20.0,13.4,92.0,0.422,0
259,2007-09-11 00:00:00,landslide,rain,medium,unknown,India,Meghālaya,91.27,25.52,Meghalaya,West Khasi Hills,Meghalaya,17.0,296.0,279.0,17.0,425.9,44.1,17.3,93.67,0.46,1
NEG_0092,2016-07-14 00:00:00,,,,,,,88.82567491325162,27.348236833358225,,Gangtok,,,,,,194.5,55.6,17.0,98.0,0.421,0
3741,2011-07-07 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.1079,25.4191,Nagaland,Senapati,Manipur,14.0,272.0,257.0,14.0,122.0,21.7,7.7,89.92,0.488,1
2113,2010-07-21 08:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.559,27.3773,Sikkim,Mangan,Sikkim,11.0,241.0,226.0,11.0,263.1,72.8,29.7,97.54,0.434,1
NEG_0296,2016-07-07 00:00:00,,,,,,,95.50195958340638,27.16068586810282,,Tirap,,,,,,105.3,29.7,5.6,86.29,0.511,0
7263,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.0489,25.4477,Manipur,Senapati,Manipur,14.0,272.0,257.0,14.0,178.5,66.8,31.1,97.46,0.425,1
2420,2010-09-13 00:00:00,landslide,downpour,medium,urban,India,Mizoram,92.71495623,23.72988966,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,41.7,9.4,5.3,93.08,0.413,1
NEG_0313,2010-08-15 23:00:00,,,,,,,94.23743284079696,25.173415284727096,,Ukhrul,,,,,,78.0,25.4,10.6,91.58,0.422,0
2253,2010-08-15 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48265093,25.31006064,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,135.5,28.1,20.5,92.17,0.466,1
2042,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,India,Nāgāland,94.5238,26.0093,Nagaland,Zunheboto,Nagaland,13.0,263.0,251.0,13.0,119.3,18.2,3.9,86.54,0.472,1
NEG_0257,2011-07-25 00:00:00,,,,,,,93.92215666785688,25.51660772459531,,Senapati,,,,,,170.6,25.9,18.7,94.08,0.435,0
9087,2016-07-19 00:00:00,landslide,downpour,medium,above_road,India,Arunachal Pradesh,94.9612,28.235,Arunachal Pradesh,Siang,Arunachal Pradesh,12.0,764.0,679.0,12.0,199.7,63.1,43.2,97.0,0.429,1
7701,2015-08-19 15:00:00,landslide,continuous_rain,medium,above_road,India,Nagaland,94.1051,25.6278,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,52.5,9.9,3.7,86.83,0.473,1
2283,2010-08-19 00:00:00,mudslide,downpour,medium,unknown,India,Manipur,93.4957,24.8961,Manipur,Tamenglong,Manipur,14.0,273.0,258.0,14.0,125.1,8.7,4.6,95.54,0.416,1
6222,2014-10-01 11:00:00,landslide,unknown,small,above_road,India,Arunachal Pradesh,93.7706,27.1249,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,12.0,248.0,237.0,12.0,64.8,1.0,0.0,77.96,0.36,1
4436,2012-06-25 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.4993,26.9986,Arunachal Pradesh,Tirap,Arunachal Pradesh,12.0,254.0,239.0,12.0,217.6,65.3,43.5,93.92,0.484,1
NEG_0209,2016-10-12 00:00:00,,,,,,,95.1150773617376,26.94953383193537,,Mon,,,,,,50.8,19.2,11.3,91.46,0.472,0
NEG_0104,2015-09-01 00:00:00,,,,,,,93.82386639010144,24.78608295782337,,Imphal West,,,,,,37.1,13.7,5.5,91.67,0.499,0
NEG_0162,2016-07-16 00:00:00,,,,,,,94.16520047700118,25.568060207285356,,Kohima,,,,,,100.9,20.4,12.8,92.42,0.515,0
